bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Garanti BBVA International,garantibbva.com.tr,geraden en bevestigd,Klantcontactadviseur Sparen,2026-05-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantcontactadviseur-sparen-at-garanti-bbva-international-4403973280,klantenservice medewerker
Gemeente Krimpenerwaard,gemeentekrimpenerwaard.nl,geraden en bevestigd,Medewerker Klantcontact,2026-09-17,Bergambacht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantcontact-at-gemeente-krimpenerwaard-4468643620,klantenservice medewerker
Genesys,genesys.nl,geraden en bevestigd,Customer Success Director,2026-07-16,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-director-at-genesys-4436073958,customer happiness
Geotab,geotab.com,geraden en bevestigd,SMB Senior Customer Success Manager (CSM) Netherlands,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/smb-senior-customer-success-manager-csm-netherlands-at-geotab-4467845183,customer happiness
Get-e,gete.nl,geraden en bevestigd,Client Relationship Manager,2026-09-10,Hoofddorp,1,nee,https://nl.linkedin.com/jobs/view/client-relationship-manager-at-get-e-4465648005,customer happiness
Giga Meubel,gigameubel.nl,geraden en bevestigd,Klantenservice medewerker 32-40 uur,2026-09-08,Barneveld,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-32-40-uur-at-giga-meubel-4462523800,klantenservice medewerker
Globus Medical,globusmedical.com,geraden en bevestigd,Sr Customer Service Representative,2025-06-10,Brunssum,1,nee,https://nl.linkedin.com/jobs/view/sr-customer-service-representative-at-globus-medical-4245482430,klantenservice medewerker
GO! Express & Logistics,goexpresslogistics.com,geraden en bevestigd,Customer Service Agent (40 uur),2026-09-08,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-service-agent-40-uur-at-go%21-express-logistics-4462293610,klantenservice medewerker
GoDutch,godutch.com,geraden en bevestigd,Customer Operations Agent,2026-01-13,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-operations-agent-at-godutch-4354448067,klantenservice medewerker
GoedGepickt Webwinkel Magazijnsoftware,goedgepickt.nl,geraden en bevestigd,Customer Success &amp; Support Specialist,2026-07-02,Etten-Leur,1,nee,https://nl.linkedin.com/jobs/view/customer-success-support-specialist-at-goedgepickt-webwinkel-magazijnsoftware-4435018603,customer happiness
GoodHabitz,goodhabitz.com,geraden en bevestigd,Webflow Developer (Marketing),2026-08-27,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/webflow-developer-marketing-at-goodhabitz-4457754763,webcare medewerker
Greenchoice,greenchoice.nl,geraden en bevestigd,Medewerker Klantenservice Zakelijk,2026-09-07,Nijmegen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-zakelijk-at-greenchoice-4464371525,klantenservice medewerker
GTE,gte-shop.com,geraden en bevestigd,General VA – Social Media Management,2026-08-24,Nieuwegein,2,nee,https://nl.linkedin.com/jobs/view/general-va-%E2%80%93-social-media-management-at-gte-4457163824,webcare medewerker
Hammer IT Services B.V.,hammerit.nl,geraden en bevestigd,Allround Medewerker IT &amp; Klantenservice,2026-08-26,Zevenaar,1,nee,https://nl.linkedin.com/jobs/view/allround-medewerker-it-klantenservice-at-hammer-it-services-b-v-4459328254,webcare medewerker
Happy Hair Service,happyhairservice.nl,geraden en bevestigd,E-commerce &amp; Content Specialist,2026-09-15,Berkel en Rodenrijs,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-content-specialist-at-happy-hair-service-4467753157,webcare medewerker
